Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g55985-d4082930-Reviews-Old_Hidalgo_Pumphouse_Museum_and_World_Birding_Center-Hidalgo_Texas.html,,#2 of 3 things to do in Hidalgo,Old Hidalgo Pumphouse Museum and World Birding Center,7 ,,Hidalgo,TX,902 S 2nd St,956-843-8686,78557,,,Ldiaz@hidalgotexas.com,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55942-d5846503-Reviews-JJ_s_Sports_Bar_Grill-Gun_Barrel_City_Texas.html,,#2 of 3 things to do in Gun Barrel City,JJ's Sports Bar & Grill,1 ,,Gun Barrel City,TX,410 S Gun Barrel Lane,(903) 802-7169,75156,,"Sun 12:00 pm - 11:00 pm , Sat 11:00 am - 1:00 am , Mon - Fri 11:00 am - 12:00 am , ",,0
,,"Gay Clubs & Bars, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55942-d3874699-Reviews-Garlow_s-Gun_Barrel_City_Texas.html,,#3 of 3 things to do in Gun Barrel City,Garlow's,1 ,,Gun Barrel City,TX,308 E Main St,(903) 887-0853,75156 ,,"Sun - Sat 4:00 pm - 2:30 am , ",,0
,,"Game & Entertainment Centers, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g55897-d10024425-Reviews-Lone_Star_Skate_Rink_Gilmer-Gilmer_Texas.html,,#3 of 3 things to do in Gilmer,Lone Star Skate Rink Gilmer,,,"Gilmer,Gilmer","TX,TX","1140 us 271 S,1140 us 271 S",+1 903-841-1936,"75644,75644",,,,
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g55795-d7383295-Reviews-Elgin_Antique_Mall-Elgin_Texas.html,,#2 of 3 things to do in Elgin,Elgin Antique Mall,4 ,,Elgin,TX,195 Hwy-290 East,(512) 281-5655,78621,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55795-d5836651-Reviews-Quoffers_Pub-Elgin_Texas.html,,#3 of 3 things to do in Elgin,Quoffers Pub,,,"Elgin,Elgin","TX,TX","117 N. Main Street,117 N. Main Street",512-281-0999,"78621,78621",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55850-d5840585-Reviews-Tokyo_harbor-Forney_Texas.html,,#1 of 3 things to do in Forney,Tokyo harbor,11 ,,Forney,TX,724 E US 80 hwy #100,(972)552-3688,75126,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55771-d5838489-Reviews-PeNNe_PaTio-Duncanville_Texas.html,,#3 of 3 things to do in Duncanville,PeNNe PaTio,,,"Duncanville,Duncanville","TX,TX","403 Dula Cir,403 Dula Cir",,"75116,75116",,,,
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g55835-d208791-Reviews-Brickyard_Golf_Course-Ferris_Texas.html,"Carved from an old brickyard, this 18-hole golf course features elevated trees, hill-lined fairways and large Tif Eagle greens.",#2 of 3 things to do in Ferris,Brickyard Golf Course,1 ,,Ferris,TX,605 N. I-45,,,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55791-d6390810-Reviews-Wild_Hibiscus_Wine_Bar_and_Events-El_Campo_Texas.html,,#2 of 3 things to do in El Campo,Wild Hibiscus Wine Bar and Events,,,"El Campo,El Campo,El Campo","TX,TX,TX","1012 N. Mechanic,1012 N. Mechanic,Hiway 71 South",979-543-3000,"77437,77437,77437",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55835-d5840095-Reviews-Wild_Bill_s_Bar_N_Grill-Ferris_Texas.html,,#3 of 3 things to do in Ferris,Wild Bill's Bar N Grill,,,"Ferris,Ferris","TX,TX","1201 FM 780,1201 FM 780",(972) 544-3083,"75125,75125",,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g55791-d5544752-Reviews-El_Campo_Museum_of_Natural_History-El_Campo_Texas.html,,#1 of 3 things to do in El Campo,El Campo Museum of Natural History,3 ,,El Campo,TX,2350 N. Mechanic St.,979-543-6885,77437,,,,0
,,"Ranches, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g55835-d560649-Reviews-Shadowcreek_Ranch-Ferris_Texas.html,,#1 of 3 things to do in Ferris,Shadowcreek Ranch,1 ,,Ferris,TX,315 Patrick Price Road,972 225 5414,75125,,,,0
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g55771-d7348436-Reviews-International_Museum_of_Cultures-Duncanville_Texas.html,,#1 of 3 things to do in Duncanville,International Museum of Cultures,4 ,,Duncanville,TX,411 US 67,972-572-0462,,,,,0
,,"Bodies of Water, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g55774-d4607589-Reviews-Maverick_County_Lake-Eagle_Pass_Texas.html,,#2 of 3 things to do in Eagle Pass,Maverick County Lake,7 ,,Eagle Pass,TX,Main St.,,78852,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g55791-d5829416-Reviews-Chubby_s_Ice_House-El_Campo_Texas.html,,#3 of 3 things to do in El Campo,Chubby's Ice House,,,"El Campo,El Campo,El Campo","TX,TX,TX","Hiway 71 South,1012 N. Mechanic,Hiway 71 South",979-332-3330,"77437,77437,77437",,,,
,,"Fun & Games, Casinos & Gambling",,https://www.tripadvisor.com/Attraction_Review-g55774-d281313-Reviews-Kickapoo_Lucky_Eagle_Casino-Eagle_Pass_Texas.html,"Texas' #1 gaming destination is now even bigger--our new expansion project is now open! Now you can play and stay in our new 249-room full service hotel, enjoy gourmet fine dining in the Sage Steakhouse, relax in new bars including the Center Bar, live weekly entertainment in the Que Pasa Lounge, high limit gaming area and more.24-hour gaming excitement is within easy reach of San Antonio, Austin, Corpus Christi and the Rio Grande Valley, so why drive anywhere else? Winning is Bigger in Texas!",#1 of 3 things to do in Eagle Pass,Kickapoo Lucky Eagle Casino,328 ,,Eagle Pass,TX,794 Lucky Eagle Drive,888-255-8259,78852,,,,64
,,"Bike Tours, Outdoor Activities, Tours",,https://www.tripadvisor.com/Attraction_Review-g57115-d1841764-Reviews-Snake_Farm_Mountain_Bike_Tours-Rockville_Utah.html,"Snake Farm Mountain Bike Tours is owned and operated by experienced, local mountain bikers. We specialize in guided slickrock and desert single-track mountain biking tours throughout Southern Utah. Some areas we guide are: Gooseberry Mesa, Little Creek, Virgin, Santa Clara River Reserve, Green Valley and more. We customize every tour to best suit the experience level of each rider or group to ensure a fulfilling mountain bike ride.",#3 of 3 things to do in Rockville,Snake Farm Mountain Bike Tours,,,"Rockville,Rockville","UT,UT","PO Box 630286,PO Box 630286",435-619-6225,"84763,84763",,,reservations@snakefarmtours.com,
,,"Scenic Drives, Sights & Landmarks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g57115-d3227730-Reviews-Smithsonian_Butte_Back_Country_Byway-Rockville_Utah.html,,#2 of 3 things to do in Rockville,Smithsonian Butte Back Country Byway,4 ,,Rockville,UT,Rockville to Apple Valley,,,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g56907-d5839262-Reviews-Spotted_DOG_Saloon-Winnie_Texas.html,,#3 of 3 things to do in Winnie,Spotted DOG Saloon,,,"Winnie,Winnie","TX,TX","307 HW 124,307 HW 124",409-296-3731,"77665,77665",,,,
,,"Historic Sites, Bridges, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g57115-d7987830-Reviews-Rockville_Bridge-Rockville_Utah.html,,#1 of 3 things to do in Rockville,Rockville Bridge,5 ,,Rockville,UT,,,84763,,,,1
,,"Movie Theaters, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g57112-d6939294-Reviews-Coleman_s_Motor_Vu_Drive_In_Swap_Meet-Riverdale_Utah.html,,#1 of 3 things to do in Riverdale,Coleman's Motor-Vu Drive-In & Swap Meet,7 ,,Riverdale,UT,5368 S. 1050 W,801-394-1768,84405,,,,0
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g46918-d123116-Reviews-Mercer_Oaks_Golf_Course-Princeton_Junction_West_Windsor_Township_New_Jersey.html,,#1 of 2 things to do in Princeton Junction,Mercer Oaks Golf Course,13 ,,"Princeton Junction,West Windsor Township",NJ,785 Village Road,609-936-9603,,,,,2
,,"Hiking Trails, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g57110-d117168-Reviews-Arch_of_Art_Trail-Richfield_Utah.html,"This hiking trail will lead the visitor past 61 panels, carved by the Fremont Indians.",#3 of 3 things to do in Richfield,Arch of Art Trail,1 ,,Richfield,UT,,,,,,,0
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g56907-d5486451-Reviews-Larry_s_Old_Time_Trade_Days-Winnie_Texas.html,,#2 of 3 things to do in Winnie,Larry's Old Time Trade Days,9 ,,Winnie,TX,Exit 829 on IH-10,,,,,,0
,,"Playgrounds, Fun & Games, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g46918-d3291841-Reviews-BounceU-Princeton_Junction_West_Windsor_Township_New_Jersey.html,"With our amazing inflatable structures, unbeatable customer service, and clean, climate-controlled environment, all you really have to do is show up and have FUN.Incredible kids parties are just the beginning!! Team parties, FUNdraisers, Scout Events, Open Bounces, Pre School Playdates, Family Bounce and more!!Kids flip for our unbelievably cool bounce stadiums (imagine the ultimate children's playground experience in a safe, indoor setting), but they also can't get enough of the games, the food, and sharing the spotlight with family and friends. It's no wonder we're one of New Jersey's favorite kid's places for play and parties!",#2 of 2 things to do in Princeton Junction,BounceU,6 ,,"Princeton Junction,West Windsor Township",NJ,410 Princeton-Highstown Rd,609-443-5867,08550,,,westwindsor.nj@bounceu.com,1
,,"Points of Interest & Landmarks, Monuments & Statues, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g57054-d8283665-Reviews-Manilasaurus-Manila_Utah.html,,#3 of 3 things to do in Manila,Manilasaurus,1 ,,Manila,UT,Highway 43 and Main Street,,,,,,0
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g56999-d1216208-Reviews-Bonneville_Seabase-Grantsville_Utah.html,Snorkel or just look at the fish at this unusually-located nature center.,#1 of 3 things to do in Grantsville,Bonneville Seabase,7 ,,Grantsville,UT,,435-884-3874,,,"Thu - Fri 9:00 am - 3:00 pm , Sat - Sun 8:00 am - 3:30 pm , ",info@seabase.net,1
,,"State Parks, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g56945-d140537-Reviews-Kodachrome_Basin_State_Park-Cannonville_Utah.html,,#1 of 3 things to do in Cannonville,Kodachrome Basin State Park,283 ,,Cannonville,UT,Kodachrome State Park Road,435-679-8562,84718,,,,22
,,"Dinner Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g56999-d8774930-Reviews-Old_Grantsville_Church_Dinner_Theater-Grantsville_Utah.html,,#3 of 3 things to do in Grantsville,Old Grantsville Church Dinner Theater,1 ,,Grantsville,UT,237 West Clark Street,1-435-241-8131,84029,,,,0
,,"Canyons, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g56945-d6942219-Reviews-Willis_Creek_Slot_Canyon-Cannonville_Utah.html,,#2 of 3 things to do in Cannonville,Willis Creek Slot Canyon,32 ,,Cannonville,UT,Skutumpah Road,,,,,,0
,,"Shopping Malls, Shopping",,https://www.tripadvisor.com/Attraction_Review-g56983-d3469353-Reviews-Station_Park-Farmington_Davis_County_Utah.html,,#2 of 3 things to do in Farmington,Station Park,42 ,,Farmington,UT,320 N. Station Parkway,801-451-5993,84025,,"Sun 12:00 pm - 6:00 pm , Mon - Sat 10:00 am - 9:00 pm , ",,0
,,"Theme Parks, Water & Amusement Parks",,https://www.tripadvisor.com/Attraction_Review-g56983-d1064459-Reviews-Lagoon_Amusement_Park-Farmington_Davis_County_Utah.html,,#1 of 3 things to do in Farmington,Lagoon Amusement Park,452 ,,Farmington,UT,375 Lagoon Drive,(801) 451-8000,84025,,,info@lagoonpark.com,73
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g57043-d2220033-Reviews-Red_Cliffs_Recreation_Area-Leeds_Utah.html,,#1 of 3 things to do in Leeds,Red Cliffs Recreation Area,20 ,,Leeds,UT,,,,,,,2
,,"National Parks, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g57054-d145218-Reviews-Flaming_Gorge_National_Recreation_Area-Manila_Utah.html,,#1 of 3 things to do in Manila,Flaming Gorge National Recreation Area,153 ,,Manila,UT,,435-784-3445,84046,,,,5
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g58221-d3874617-Reviews-Stanburn_Winery-Stuart_Virginia.html,,#3 of 3 things to do in Stuart,Stanburn Winery,5 ,,Stuart,VA,158 Conner Dr.,276-694-7074,,,"Sun 1:00 pm - 5:00 pm , Sat 12:00 pm - 6:00 pm , ",,0
,,"Points of Interest & Landmarks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g58258-d4172063-Reviews-Freedom_Hill_Fort-Tysons_Corner_Fairfax_County_Virginia.html,,#3 of 3 things to do in Tysons Corner,Freedom Hill Fort,4 ,,Tysons Corner,VA,8531 Old Courthouse Road,,,,,,1
,,"Gift & Specialty Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g58267-d3805969-Reviews-Factory_Antique_Mall-Verona_Virginia.html,,#1 of 3 things to do in Verona,Factory Antique Mall,46 ,,Verona,VA,50 Lodge Lane,540-248-1110,24482,,,,3
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g58114-d103808-Reviews-Hughlett_Point_Natural_Area-Reedville_Virginia.html,Natural reserve that consists of 213 acres of pine forests and a beach on Chesapeake Bay.,#3 of 3 things to do in Reedville,Hughlett Point Natural Area,15 ,,Reedville,VA,NOT IN REEDVILLE,,,,"Sun - Sat 6:00 am - 10:00 pm , ",,0
,,"Hiking Trails, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g58032-d4602534-Reviews-Mountain_View_Trail-Norton_Virginia.html,,#3 of 3 things to do in Norton,Mountain View Trail,2 ,,Norton,VA,"798 Park Avenue NW, Suite 208",(276) 220-9875,24283,,,,0
,,"Other Ranches & Farms, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g58143-d4588697-Reviews-Woodson_s_Mill-Roseland_Virginia.html,,#3 of 3 things to do in Roseland,Woodson's Mill,,,"Roseland,Roseland","VA,VA","3211 Lowesville Road,3211 Lowesville Road",(804) 803-1794,"22967,22967",,,,
,,"Other Outdoor Activities, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g2056957-d6930236-Reviews-TPC_of_Louisiana-Avondale_Louisiana.html,,#2 of 3 things to do in Avondale,TPC of Louisiana,9 ,,Avondale,LA,11001 Lapalco Blvd,(504) 436-8721,70094,,,,1
,,"Auto Race Tracks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g2056957-d2514704-Reviews-NOLA_Motorsports_Park-Avondale_Louisiana.html,,#1 of 3 things to do in Avondale,NOLA Motorsports Park,25 ,,Avondale,LA,11075 Nicolle Boulevard,(504) 302-4875,70094,,"Sun 10:00 am - 9:00 pm , Fri 12:00 pm - 10:00 pm , Mon - Thu 12:00 pm - 9:00 pm , Sat 10:00 am - 10:00 pm , ",,1
,,"Movie Theaters, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g58032-d3389601-Reviews-Central_Drive_In-Norton_Virginia.html,,#2 of 3 things to do in Norton,Central Drive-In,12 ,,Norton,VA,5113 Kent Junction Rd.,276-679-3761,,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60137-d5832497-Reviews-Reds_II_Bar_and_Grill-New_Lisbon_Wisconsin.html,,#3 of 3 things to do in New Lisbon,Reds II Bar and Grill,1 ,,New Lisbon,WI,111 E. Bridge St.,608-562-6655,53950,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60136-d5846293-Reviews-Kings_Korner-New_Holstein_Wisconsin.html,,#3 of 3 things to do in New Holstein,Kings Korner,,,"New Holstein,New Holstein","WI,WI","2000 Main St.,2000 Main St.",(920) 898-1999,"53061,53061",,,,
,,"Libraries, Traveler Resources",,https://www.tripadvisor.com/Attraction_Review-g60137-d5575002-Reviews-New_Lisbon_Memorial_Library-New_Lisbon_Wisconsin.html,,#2 of 3 things to do in New Lisbon,New Lisbon Memorial Library,1 ,,New Lisbon,WI,115 West Park Street,+1 608-562-3213,54618,,"Thu 3:00 pm - 7:00 pm , Sat 9:00 am - 12:00 pm , Mon 9:00 am - 7:00 pm , Tue - Wed 9:00 am - 6:00 pm , Fri 9:00 am - 6:00 pm , ",,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60088-d6197859-Reviews-Varsity_Club-Merrimac_Wisconsin.html,,#3 of 3 things to do in Merrimac,Varsity Club,,,"Merrimac,Merrimac","WI,WI","627 West Main Street,627 West Main Street",+1 (608) 493-2650,"53561-9781,53561-9781",,"Tue - Thu 3:00 pm - 2:00 am , Fri - Sun 11:00 am - 2:00 am , ",,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60108-d5833365-Reviews-The_Rathskeller_of_Monticello_WI-Monticello_Wisconsin.html,,#3 of 3 things to do in Monticello,The Rathskeller of Monticello WI,,,"Monticello,Monticello,Monticello,Monticello","WI,WI,WI,WI","141 N Main St,135 N. Main Street,212 N Main St,141 N Main St",608-938-1299,"53570,53570,53570,53570",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60113-d5839695-Reviews-Maria_s_Pub_Grill-Mount_Calvary_Wisconsin.html,,#3 of 3 things to do in Mount Calvary,Maria's Pub & Grill,,,"Mount Calvary,Mount Calvary","WI,WI","401 Fond du Lac St.,401 Fond du Lac St.",920-753-2500,"53057,53057",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60064-d5835698-Reviews-Kangaroo_K_s-Marion_Wisconsin.html,,#2 of 3 things to do in Marion,Kangaroo K's,1 ,,Marion,WI,301 North Main Street,715/754-2270,54950,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60079-d6199160-Reviews-Cayuga_Hotel_Saloon-Mellen_Wisconsin.html,,#3 of 3 things to do in Mellen,Cayuga Hotel & Saloon,,,"Mellen,Mellen","WI,WI","29253 Railroad Avenue,29253 Railroad Avenue",715-274-3000,"54546,54546",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60064-d5918515-Reviews-Marion_Recreation-Marion_Wisconsin.html,,#3 of 3 things to do in Marion,Marion Recreation,1 ,,Marion,WI,117 Perry Avenue,715-754-5542,54950,,,,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60062-d5833486-Reviews-Dave_and_Suzanne_s_Lucky_Lady-Maribel_Wisconsin.html,,#3 of 3 things to do in Maribel,Dave and Suzanne's Lucky Lady,,,"Maribel,Maribel,Maribel","WI,WI,WI","11707 County Road Z,15013 N Maribel Rd,11707 County Road Z",920-863-3575,"54227,54217,54227",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60073-d5830731-Reviews-Budahn_s-Mayville_Wisconsin.html,,#3 of 3 things to do in Mayville,Budahn's,2 ,,Mayville,WI,121 S. Main St,920-387-5560,53050,,,,1
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60040-d6198578-Reviews-Kd_s_Bar_Grill-Lodi_Wisconsin.html,,#2 of 3 things to do in Lodi,Kd's Bar & Grill,7 ,,Lodi,WI,N1434 Fair Street,608-592-4696,53555,,"Fri - Sat 11:00 am - 2:30 am , Sun - Thu 11:00 am - 2:00 am , ",,0
,,"Golf Courses, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g60048-d3469387-Reviews-Luck_Golf_Course-Luck_Wisconsin.html,,#2 of 3 things to do in Luck,Luck Golf Course,2 ,,Luck,WI,1520 South Shore Drive,715-472-2939,,,,lgcdirector@lakeland.ws,0
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60040-d5843003-Reviews-Lloyds_Lower_Level-Lodi_Wisconsin.html,,#3 of 3 things to do in Lodi,Lloyds Lower Level,,,"Lodi,Lodi","WI,WI","167 S. Main St.,167 S. Main St.",608-592-7902,"53555,53555",,,,
,,"Bars & Clubs, Nightlife",,https://www.tripadvisor.com/Attraction_Review-g60038-d5841687-Reviews-CZ_s_Geano_Beach_Bar_and_Grill-Little_Suamico_Wisconsin.html,,#2 of 3 things to do in Little Suamico,CZ's Geano Beach Bar and Grill,2 ,,Little Suamico,WI,2060 Sand Bar Way,920-826-2727,54141,,,,0
,,"Game & Entertainment Centers, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g60038-d2302242-Reviews-Commando_Paintball_Sports-Little_Suamico_Wisconsin.html,"Paintball is in full swing at Commando Outdoor Paintball! Our awesome fields are all open, including Wisconsin's only 3 story Castle Field, our intense Urban Combat Field, our Swat Team Piney Woods, our wooded Center Flag Field, and the Hyperball Field.We are open for open play, walk-ons, and groups. if you have a group of 10 or more call ahead so we can hold the equipment for you and have a ref ready. See everybody out at Commando!!!",#1 of 3 things to do in Little Suamico,Commando Paintball Sports,2 ,,Little Suamico,WI,2055 Frontage Road,920-826-5554,54141,,,commando@bayland.net,0
